Version,DateTime
1.2.1,"2016-03-09 22:40:34"
1.2.1,"2016-03-09 22:40:43"
1.2.1,"2016-03-10 15:17:15"
1.2.1,"2016-03-10 15:33:06"
1.2.1,"2016-03-10 15:34:18"
1.2.1,"2016-03-16 13:56:11"
1.2.1,"2016-03-17 22:51:01"
1.2.1,"2016-03-17 22:52:52"
1.2.1,"2016-03-17 22:53:04"
1.2.1,"2016-03-17 22:57:09"
1.2.1,"2016-03-18 09:26:35"
1.2.1,"2016-03-19 08:13:06"
1.2.1,"2016-03-21 14:13:04"
1.2.1,"2016-03-21 14:20:41"
1.2.1,"2016-03-21 14:23:03"
1.2.1,"2016-03-21 14:36:56"
1.2.1,"2016-03-21 14:46:12"
1.2.1,"2016-03-21 14:50:28"
1.2.1,"2016-03-22 00:16:57"
1.2.1,"2016-03-22 01:55:09"
1.2.1,"2016-03-22 14:28:09"
1.2.1,"2016-03-24 09:03:15"
1.3.0,"2016-03-31 15:33:22"
1.3.0,"2016-03-31 16:53:59"
1.3.4,"2016-04-07 11:30:12"
1.3.4,"2016-04-07 11:33:07"
1.3.4,"2016-04-07 11:49:53"
1.3.4,"2016-04-07 13:57:53"
1.3.4,"2016-04-13 13:20:59"
1.4.1,"2016-04-27 01:22:07"
1.4.1,"2016-05-05 08:07:14"
1.4.1,"2016-05-09 17:10:53"
1.4.1,"2016-05-09 17:10:58"
1.4.1,"2016-05-09 17:11:13"
1.4.1,"2016-05-09 18:36:07"
1.4.1,"2016-05-09 18:44:37"
1.4.1,"2016-05-09 18:45:04"
1.4.1,"2016-05-09 18:45:13"
1.4.1,"2016-05-21 21:16:11"
1.4.1,"2016-05-31 08:40:34"
